"","subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"1","subj001",1,1,"word_reading_cong","green","green",736,"220.8.152.55",-66.6304246522486,-0.849426761269569,"Chrome","Windows","231x533","Desktop","Agent8271",1794,0,0
"2","subj001",1,2,"word_reading_cong","green","green",634,"192.204.43.94",69.1194252669811,99.4486484583467,"Chrome","Windows","504x44","Desktop","Agent2871",6919,0,0
"3","subj001",1,3,"word_reading_cong","green","green",786,"218.77.18.179",88.4372270107269,-29.1028846241534,"Chrome","Windows","67x141","Desktop","Agent9981",8913,0,0
"4","subj001",1,4,"ink_naming_incong","red","red",1265,"216.47.65.73",65.1537784840912,29.8877358622849,"Chrome","Windows","478x574","Desktop","Agent6464",1512,0,0
"5","subj001",1,5,"word_reading_cong","red",NA,NA,"199.68.43.82",63.4051292063668,-71.800551507622,"Chrome","Windows","872x366","Desktop","Agent6966",5779,0,0
"6","subj001",1,6,"ink_naming_incong","green",NA,NA,"216.89.102.95",-22.0655507035553,-127.056299541146,"Chrome","Windows","896x747","Desktop","Agent6226",5078,0,0
"7","subj001",1,7,"ink_naming_incong","blue","blue",1142,"223.204.212.132",21.073769973591,-80.8005964010954,"Chrome","Windows","631x591","Desktop","Agent7227",8801,0,0
"8","subj001",1,8,"ink_naming_incong","green","green",1366,"192.77.17.128",3.30163065344095,-106.931072417647,"Chrome","Windows","599x249","Desktop","Agent2951",5634,0,0
"9","subj001",1,9,"word_reading_cong","blue","blue",728,"219.199.73.75",-83.3527422090992,-98.929656855762,"Chrome","Windows","354x466","Desktop","Agent5237",3926,0,0
"10","subj001",1,10,"ink_naming_cong","red","red",984,"215.70.50.145",43.745838208124,7.18556242994964,"Chrome","Windows","448x361","Desktop","Agent8771",4532,0,0
"11","subj001",1,11,"word_reading_incong","yellow","yellow",469,"199.226.113.133",61.6371307661757,151.424340773374,"Chrome","Windows","465x600","Desktop","Agent4709",3488,0,0
"12","subj001",1,12,"ink_naming_incong","blue","blue",993,"222.58.111.63",-81.1592429084703,29.3256192840636,"Chrome","Windows","907x16","Desktop","Agent8904",5024,0,0
"13","subj001",1,13,"ink_naming_incong","blue","blue",1142,"218.63.46.242",70.7920573884621,-85.859784828499,"Chrome","Windows","583x346","Desktop","Agent7693",5564,0,0
"14","subj001",1,14,"ink_naming_cong","blue","blue",4602,"203.44.46.206",-21.9280584901571,-45.3710172325373,"Chrome","Windows","28x730","Desktop","Agent8988",4731,0,0
"15","subj001",1,15,"ink_naming_incong","yellow","yellow",1178,"199.56.130.94",35.2015742613003,22.8740052133799,"Chrome","Windows","181x724","Desktop","Agent2453",319,0,0
"16","subj001",1,16,"word_reading_cong","red","red",782,"207.45.197.177",39.1160452505574,-122.577925957739,"Chrome","Windows","881x444","Desktop","Agent3138",1314,0,0
"17","subj001",1,17,"word_reading_incong","yellow","yellow",701,"201.76.175.215",32.8544904151931,61.4888422843069,"Chrome","Windows","896x397","Desktop","Agent2463",5700,0,0
"18","subj001",1,18,"ink_naming_cong","red","red",1121,"206.125.182.169",-35.9268559003249,-173.423202876002,"Chrome","Windows","162x55","Desktop","Agent1668",4680,0,0
"19","subj001",1,19,"word_reading_cong","red","red",608,"201.184.117.160",-35.5278271017596,-175.54023373872,"Chrome","Windows","693x457","Desktop","Agent1366",2435,0,0
"20","subj001",1,20,"word_reading_cong","green","green",579,"215.116.171.121",-4.30012830533087,59.2802978865802,"Chrome","Windows","454x617","Desktop","Agent1182",7337,0,0
"21","subj001",1,21,"ink_naming_cong","green","green",877,"199.172.30.93",-81.2731528887525,-105.997059093788,"Chrome","Windows","822x226","Desktop","Agent1957",200,0,0
